host-speed,ntasks,size,bandwidth,latency,usec
10GFlops,8,100,100Mbps,5us,272
10GFlops,8,100,100Mbps,500us,4201
10GFlops,8,100,1Gbps,5us,63
10GFlops,8,100,1Gbps,500us,3991
10GFlops,8,1500,100Mbps,5us,3508
10GFlops,8,1500,100Mbps,500us,7668
10GFlops,8,1500,1Gbps,5us,388
10GFlops,8,1500,1Gbps,500us,4549
10GFlops,8,3000,100Mbps,5us,6976
10GFlops,8,3000,100Mbps,500us,11537
10GFlops,8,3000,1Gbps,5us,739
10GFlops,8,3000,1Gbps,500us,5300
10GFlops,16,100,100Mbps,5us,539
10GFlops,16,100,100Mbps,500us,4467
10GFlops,16,100,1Gbps,5us,89
10GFlops,16,100,1Gbps,500us,4018
10GFlops,16,1500,100Mbps,5us,7469
10GFlops,16,1500,100Mbps,500us,11630
10GFlops,16,1500,1Gbps,5us,784
10GFlops,16,1500,1Gbps,500us,4945
10GFlops,16,3000,100Mbps,5us,14896
10GFlops,16,3000,100Mbps,500us,19457
10GFlops,16,3000,1Gbps,5us,1531
10GFlops,16,3000,1Gbps,500us,6092
10GFlops,32,100,100Mbps,5us,1072
10GFlops,32,100,100Mbps,500us,5000
10GFlops,32,100,1Gbps,5us,142
10GFlops,32,100,1Gbps,500us,4071
10GFlops,32,1500,100Mbps,5us,15392
10GFlops,32,1500,100Mbps,500us,19553
10GFlops,32,1500,1Gbps,5us,1577
10GFlops,32,1500,1Gbps,500us,5737
10GFlops,32,3000,100Mbps,5us,30736
10GFlops,32,3000,100Mbps,500us,35298
10GFlops,32,3000,1Gbps,5us,3115
10GFlops,32,3000,1Gbps,500us,7676
